OBJECTID,ls_count,x_ctr,y_ctr,
1,0,417887.3553,2799928.809,
2,0,429487.9096,2794016.964,
3,0,431887.3553,2787928.809,
4,0,392887.3553,2780928.809,
5,0,420887.3553,2816928.809,
6,0,412887.3553,2808928.809,
7,0,432887.3553,2781928.809,
118,86,407887.3553,2753928.809,0.013349891
9,0,390887.3553,2773928.809,
10,0,430408.1458,2795406.2,
11,0,416887.3553,2801928.809,
12,0,423887.3553,2777928.809,
13,0,406887.3553,2802928.809,
14,0,423887.3553,2781928.809,
15,0,398893.2591,2806933.907,
16,0,405887.3553,2774928.809,
17,0,397887.3553,2775928.809,
18,0,408887.3553,2768928.809,
19,0,418887.3553,2773928.809,
20,0,412887.3553,2793928.809,
21,0,409887.3553,2765928.809,
22,0,414887.3553,2791928.809,
1247,69,402887.3553,2753928.809,0.010710959
24,0,425887.3553,2764928.809,
25,0,412887.3553,2772928.809,
26,0,425887.3553,2791928.809,
516,63,403887.3553,2752928.809,0.009779572
28,0,396887.3553,2793928.809,
29,0,418887.3553,2768928.809,
30,0,411887.3553,2793928.809,
1870,62,406887.3553,2750928.809,0.00962434
32,0,405887.3553,2791928.809,
33,0,404887.3553,2792928.809,
34,0,389887.3553,2768928.809,
35,0,423887.3553,2785928.809,
36,0,421887.3553,2799928.809,
37,0,416887.3553,2784928.809,
38,0,420887.3553,2782928.809,
39,0,410887.3553,2805928.809,
459,55,414887.3553,2757928.809,0.008537721
41,0,400887.3553,2761928.809,
42,0,436436.1886,2750970.48,
43,0,426887.3553,2780928.809,
44,0,387887.3553,2777928.809,
45,0,400250.107,2816774.686,
2846,55,407887.3553,2750928.809,0.008537721
47,0,422887.3553,2751928.809,
48,0,405887.3553,2790928.809,
49,0,401887.3553,2776928.809,
50,0,400887.3553,2766928.809,
51,0,390887.3553,2787928.809,
2727,54,415887.3553,2757928.809,0.00838249
53,0,408887.3553,2767928.809,
54,0,422160.2273,2743352.44,
55,0,396859.5114,2798576.34,
56,0,405887.3553,2805928.809,
57,0,420887.3553,2793928.809,
58,0,416887.3553,2799928.809,
59,0,424887.3553,2785928.809,
60,0,387653.8182,2761848.688,
61,0,403887.3553,2790928.809,
62,0,427495.379,2764918.944,
63,0,412887.3553,2767928.809,
64,0,420887.3553,2769928.809,
