lith_name,area_m2_total
三叠系文宾山组,2947471.9153877418
二叠系文笔山组,7197336.317402169
二叠系栖霞组,6016200.37158999
二叠系童子岩组,18946477.317103468
二叠系翠屏山组,7608336.670083511
侏罗系下村组,16019148.730053809
侏罗系藩坑组,8753179.219272379
元古界桃溪岩组,1999999.9999981374
元古界楼子坝组,102632429.11374864
加里东期二长花岗岩,16603935.577693757
华力西-印支期正长花岗岩,4211552.411022913
泥盆系天瓦岽组,8650102.9073166
泥盆系桃子坑组,11996896.230733154
燕山中期二长花岗岩,97185286.82911971
燕山中期正长花岗岩,64390350.43062344
燕山中期石英二长岩,399252.16818584886
燕山早期二长花岗岩,476833.0574868184
燕山早期正长花岗岩,20797899.116636492
燕山晚期二长花岗岩,22772.297603426836
燕山晚期晶洞碱长花岗岩,5980459.722957955
燕山晚期花岗斑岩,23052837.57037482
白垩系寨下组上段,440747.89008222957
白垩系沙县组,9827875.676067956
石炭系林地组,20629268.9765937
石炭系老虎洞组,873758.8250832155
第四系全新统,7516915.524628039
