point_id,landslide_id,x,y,pt_elev,area_m2,z_min,z_max,relief_m
0,0,424408.3069769387,2743020.0829903414,702.0,2318.59872363395,688.0,721.0,33.0
1,1,424470.8631444578,2743075.5854804614,702.0,468.6813163383126,695.0,710.0,15.0
2,2,427170.24276053114,2743389.8389287903,418.0,609.6267673422735,417.0,427.0,10.0
3,3,427904.21675344737,2743426.079926592,556.0,939.0945448266336,546.0,567.0,21.0
4,4,426847.8348752927,2743410.982767871,477.0,824.5671893699958,459.0,494.0,35.0
5,5,428036.22203020845,2743454.1132087926,590.0,989.9381865068482,587.0,599.0,12.0
6,6,426969.66992177034,2743473.9635654716,434.0,633.5203166259156,430.0,439.0,9.0
7,7,427066.39311701,2743493.760143672,417.0,909.4956577564143,415.0,421.0,6.0
8,8,427927.21155184763,2743474.0961124315,543.0,647.1081844755319,538.0,557.0,19.0
9,9,427422.2175302898,2743503.7839325536,399.0,1471.0628004316168,393.0,412.0,19.0
10,10,424019.2387665005,2743505.724156153,672.0,719.4550240490842,672.0,676.0,4.0
11,11,427996.54720648826,2743514.540128353,567.0,881.5135331963337,539.0,586.0,47.0
12,12,425658.43732469436,2743549.8104145937,676.0,318.2848804515772,682.0,682.0,0.0
13,13,427855.9578647274,2743548.228847475,498.0,4929.661844289814,469.0,515.0,46.0
14,15,428770.82966956566,2743593.6958533954,548.0,1606.6573658530026,541.0,553.0,12.0
15,16,422608.32805662404,2743611.6379736755,707.0,121.53418221721961,,,
16,17,427649.70569860796,2743594.2456333963,426.0,4520.52494040447,409.0,449.0,40.0
17,18,422561.6614307427,2743619.973338197,705.0,165.93109655826032,705.0,705.0,0.0
18,19,425790.4577953754,2743639.848484956,617.0,812.4877344693049,613.0,624.0,11.0
19,20,427946.02942168864,2743659.079989277,486.0,817.0554705643736,477.0,497.0,20.0
20,21,427849.2064663671,2743667.6552577973,487.0,413.2026858483601,485.0,487.0,2.0
21,22,427367.1885506893,2743660.340984678,425.0,1429.7228721691706,411.0,440.0,29.0
22,23,427900.78432696825,2743690.793498799,470.0,533.3104064454147,466.0,474.0,8.0
23,24,425822.3878182551,2743697.2252250784,595.0,362.39452425673846,595.0,600.0,5.0
24,26,428058.2817028071,2743744.911642879,495.0,1135.8365639462615,482.0,517.0,35.0
25,27,427875.87399508845,2743746.5401912,465.0,778.4092247482897,453.0,469.0,16.0
26,28,424010.1861889784,2743753.4883108395,610.0,525.6259503131884,606.0,616.0,10.0
27,29,428569.46174896584,2743773.0177959194,574.0,3368.857050745669,556.0,594.0,38.0
28,30,427337.0791992502,2743824.2260044413,401.0,848.1992726466002,398.0,403.0,5.0
29,31,428060.2587116869,2743821.5660688416,495.0,6268.545309306103,466.0,526.0,60.0
30,32,424468.8821371768,2743883.7737758025,680.0,149.4789325414608,680.0,680.0,0.0
31,33,426974.1952109295,2743938.5438590036,464.0,1015.0004895054907,448.0,485.0,37.0
32,34,427998.2362306073,2744003.8830128843,490.0,1260.278865000902,485.0,506.0,21.0
33,35,423889.40262173885,2744037.5321478457,590.0,962.9658485905992,586.0,592.0,6.0
34,36,424169.8718891383,2744088.748053286,555.0,960.9277333338572,553.0,557.0,4.0
35,37,424557.4233065386,2744153.7240524883,570.0,219.2480851450031,570.0,570.0,0.0
36,38,426611.26514105115,2744161.6237913296,474.0,593.834349650895,469.0,479.0,10.0
37,40,428764.64484448696,2744205.315607609,475.0,801.879599145137,472.0,475.0,3.0
38,41,428058.5378003267,2744270.313398092,513.0,673.8674112659953,509.0,515.0,6.0
39,42,428479.2228589657,2744289.5059180125,500.0,787.0194378723376,498.0,507.0,9.0
40,43,429185.3855808454,2744286.8238912537,441.0,532.8132265388775,434.0,445.0,11.0
41,44,428349.053447566,2744293.335485573,532.0,1482.0187325586028,514.0,538.0,24.0
42,45,426309.17372597376,2744277.844384491,452.0,1901.1177922391564,431.0,501.0,70.0
43,46,426495.8940079719,2744345.9329381743,424.0,1699.0783792215116,418.0,432.0,14.0
44,47,429101.1935711253,2744378.506203654,456.0,799.7229354224614,451.0,462.0,11.0
45,48,426274.166034654,2744410.6059586145,492.0,449.43615153353403,486.0,492.0,6.0
46,49,426168.3507776937,2744408.1956231347,508.0,1811.4715190329885,495.0,518.0,23.0
47,50,426798.7176300508,2744419.246800896,399.0,2750.5128786785963,392.0,424.0,32.0
48,51,424691.58222149697,2744427.2852842156,503.0,820.4180358094544,503.0,506.0,3.0
49,52,427070.5998336519,2744426.7865837766,430.0,1277.6333426210804,425.0,438.0,13.0
50,53,429236.9587433233,2744453.237199296,423.0,383.84691848061533,421.0,423.0,2.0
51,55,424620.3861113377,2744456.280481497,533.0,960.9004009109098,521.0,549.0,28.0
52,56,424759.6995636584,2744473.781378336,508.0,728.8163431126242,502.0,511.0,9.0
53,57,426767.87157341256,2744482.365243417,426.0,4552.806820573649,390.0,464.0,74.0
54,58,424768.70725913753,2744533.227590339,516.0,789.5605028788465,514.0,523.0,9.0
55,59,428772.4235317651,2744537.834746738,446.0,265.8940611231535,446.0,448.0,2.0
56,60,426335.9625061724,2744554.3482386996,457.0,287.2492292222235,454.0,460.0,6.0
57,62,424852.75802537653,2744558.092340459,497.0,2151.4580084729632,493.0,499.0,6.0
58,63,429903.3444823611,2744588.3326395005,436.0,270.40623756482023,432.0,436.0,4.0
59,64,428755.42963204527,2744653.377211262,443.0,699.5546203105102,441.0,447.0,6.0
60,65,425020.05058157747,2744665.5424432205,487.0,1806.2686146466715,482.0,494.0,12.0
61,66,429899.26601440273,2744668.666093262,439.0,1100.1662078309685,432.0,454.0,22.0
62,67,430034.42472928215,2744678.3125331416,457.0,562.1922494226784,452.0,463.0,11.0
63,68,424736.95206629694,2744678.653296781,548.0,1278.1286036841607,527.0,571.0,44.0
64,69,429287.34438100585,2744707.8881981424,424.0,736.1551765115711,424.0,426.0,2.0
65,70,425068.49529593636,2744745.2132621426,496.0,857.6591680306626,491.0,500.0,9.0
66,71,429522.76537492464,2744742.6014073035,440.0,669.523598235176,431.0,449.0,18.0
67,72,427123.86541889125,2744714.4660659414,409.0,1955.107508516336,406.0,413.0,7.0
68,73,430062.31776760257,2744741.249048463,452.0,1691.927379101105,450.0,460.0,10.0
69,74,426683.15187485283,2744753.1784747825,496.0,950.2933949878824,480.0,515.0,35.0
70,75,426483.00606521155,2744762.3153185826,548.0,1605.012760652403,520.0,561.0,41.0
