point_id,landslide_id,x,y,pt_elev,pt_slope,pt_lith,area_m2,z_min,z_max,relief_m
0,0,424446.5,2743003.25,721,29.06082916,,2318.598724,688,721,33
1,1,424484,2743065.75,710,26.3435421,,468.6813163,695,710,15
2,2,427159,2743378.25,427,31.35235786,泥盆系天瓦岽组,609.6267673,417,427,10
3,3,427921.5,2743415.75,567,32.78354645,泥盆系天瓦岽组,939.0945448,546,567,21
4,4,426859,2743378.25,494,39.08204269,泥盆系天瓦岽组,824.5671894,459,494,35
5,5,428059,2743453.25,599,17.74467087,泥盆系天瓦岽组,989.9381865,587,599,12
6,6,426971.5,2743490.75,439,23.00120926,泥盆系天瓦岽组,633.5203166,430,439,9
7,7,427059,2743503.25,421,17.34932709,泥盆系天瓦岽组,909.4956578,415,421,6
8,8,427934,2743453.25,557,28.28669357,泥盆系天瓦岽组,647.1081845,538,557,19
9,9,427396.5,2743503.25,412,30.97779465,泥盆系天瓦岽组,1471.0628,393,412,19
10,10,424009,2743515.75,676,17.87400818,燕山中期正长花岗岩,719.455024,672,676,4
11,11,428034,2743503.25,586,25.37693405,泥盆系天瓦岽组,881.5135332,539,586,47
12,12,425646.5,2743553.25,682,31.89873886,泥盆系天瓦岽组,318.2848805,682,682,0
13,13,427909,2743553.25,515,18.88338852,泥盆系天瓦岽组,4929.661844,469,515,46
14,14,427209,2743603.25,471,20.83311844,泥盆系天瓦岽组,3492.991246,410,471,61
15,15,428759,2743578.25,553,13.54079247,,1606.657366,541,553,12
16,16,,,,,,121.5341822,,,
17,17,427734,2743590.75,449,17.63051605,泥盆系天瓦岽组,4520.52494,409,449,40
18,18,422571.5,2743615.75,705,7.929364681,燕山中期正长花岗岩,165.9310966,705,705,0
19,19,425784,2743628.25,624,20.84626579,泥盆系天瓦岽组,812.4877345,613,624,11
20,20,427959,2743640.75,497,31.47534752,泥盆系天瓦岽组,817.0554706,477,497,20
21,21,427846.5,2743665.75,487,9.365159035,泥盆系天瓦岽组,413.2026858,485,487,2
22,22,427346.5,2743678.25,440,30.57299042,泥盆系天瓦岽组,1429.722872,411,440,29
23,23,427884,2743690.75,474,21.71472931,泥盆系天瓦岽组,533.3104064,466,474,8
24,24,425821.5,2743690.75,600,19.86915779,泥盆系天瓦岽组,362.3945243,595,600,5
25,25,423896.5,2743615.75,694,16.61135101,燕山中期正长花岗岩,1836.933493,624,694,70
26,26,428096.5,2743765.75,517,28.62985039,泥盆系天瓦岽组,1135.836564,482,517,35
27,27,427871.5,2743728.25,469,21.80140877,泥盆系天瓦岽组,778.4092247,453,469,16
28,28,424009,2743740.75,616,27.49176979,燕山中期正长花岗岩,525.6259503,606,616,10
29,29,428534,2743790.75,594,15.27659416,泥盆系天瓦岽组,3368.857051,556,594,38
30,30,427334,2743815.75,403,17.34932709,泥盆系天瓦岽组,848.1992726,398,403,5
31,31,428109,2743803.25,526,26.11899185,泥盆系天瓦岽组,6268.545309,466,526,60
32,32,424471.5,2743878.25,680,32.26617432,燕山中期正长花岗岩,149.4789325,680,680,0
33,33,426934,2743953.25,485,19.64307594,燕山中期正长花岗岩,1015.00049,448,485,37
34,34,427971.5,2744028.25,506,23.54085159,燕山中期正长花岗岩,1260.278865,485,506,21
35,35,423884,2744053.25,592,16.61135101,燕山中期正长花岗岩,962.9658486,586,592,6
36,36,424171.5,2744103.25,557,12.00254154,燕山中期正长花岗岩,960.9277333,553,557,4
37,37,424559,2744153.25,570,23.93388939,燕山中期正长花岗岩,219.2480851,570,570,0
38,38,426609,2744153.25,479,28.28669357,燕山中期正长花岗岩,593.8343497,469,479,10
39,39,424371.5,2744140.75,553,17.23186493,燕山中期正长花岗岩,1627.238223,531,553,22
40,40,428759,2744203.25,475,16.25391769,燕山中期正长花岗岩,801.8795991,472,475,3
41,41,428071.5,2744265.75,515,18.58031464,燕山中期正长花岗岩,673.8674113,509,515,6
42,42,428471.5,2744278.25,507,24.53709984,燕山中期正长花岗岩,787.0194379,498,507,9
43,43,429184,2744303.25,445,18.86838341,燕山中期正长花岗岩,532.8132265,434,445,11
44,44,428321.5,2744290.75,538,15.73677826,燕山中期正长花岗岩,1482.018733,514,538,24
45,45,426209,2744315.75,501,32.26617432,燕山中期正长花岗岩,1901.117792,431,501,70
46,46,426509,2744328.25,432,29.68693352,燕山中期正长花岗岩,1699.078379,418,432,14
47,47,429121.5,2744378.25,462,8.284176826,燕山中期正长花岗岩,799.7229354,451,462,11
48,48,426271.5,2744415.75,492,27.07054329,燕山中期正长花岗岩,449.4361515,486,492,6
49,49,426159,2744390.75,518,32.75207901,燕山中期正长花岗岩,1811.471519,495,518,23
50,50,426759,2744440.75,424,28.81479263,燕山中期正长花岗岩,2750.512879,392,424,32
51,51,424671.5,2744428.25,506,8.842258453,燕山中期正长花岗岩,820.4180358,503,506,3
52,52,427071.5,2744453.25,438,19.47122002,燕山中期正长花岗岩,1277.633343,425,438,13
53,53,429234,2744453.25,423,15.86798096,燕山中期正长花岗岩,383.8469185,421,423,2
54,54,429146.5,2744453.25,459,13.54079247,燕山中期正长花岗岩,1591.997274,433,459,26
55,55,424596.5,2744478.25,549,13.5182848,燕山中期正长花岗岩,960.9004009,521,549,28
56,56,424759,2744490.75,511,15.52789307,燕山中期正长花岗岩,728.8163431,502,511,9
57,57,426696.5,2744528.25,464,12.84579372,燕山中期正长花岗岩,4552.806821,390,464,74
58,58,424759,2744540.75,523,22.48979187,燕山中期正长花岗岩,789.5605029,514,523,9
59,59,428784,2744528.25,448,17.16429329,燕山中期正长花岗岩,265.8940611,446,448,2
60,60,426346.5,2744553.25,460,18.76292038,燕山中期正长花岗岩,287.2492292,454,460,6
61,61,429471.5,2744540.75,452,24.3595562,燕山中期正长花岗岩,2624.869258,418,452,34
62,62,424834,2744553.25,499,9.090276718,燕山中期正长花岗岩,2151.458008,493,499,6
63,63,429909,2744590.75,436,21.10684776,,270.4062376,432,436,4
64,64,428759,2744678.25,447,8.049467087,燕山中期正长花岗岩,699.5546203,441,447,6
65,65,425034,2744653.25,494,21.10684776,燕山中期正长花岗岩,1806.268615,482,494,12
66,66,429884,2744690.75,454,27.69840431,,1100.166208,432,454,22
67,67,430046.5,2744665.75,463,14.31228924,,562.1922494,452,463,11
68,68,424696.5,2744665.75,571,24.23303795,燕山中期正长花岗岩,1278.128604,527,571,44
69,69,429271.5,2744715.75,426,8.842258453,燕山中期正长花岗岩,736.1551765,424,426,2
70,70,425084,2744753.25,500,21.31215858,燕山中期正长花岗岩,857.659168,491,500,9
71,71,429534,2744728.25,449,25.91994286,燕山中期正长花岗岩,669.5235982,431,449,18
72,72,427134,2744703.25,413,15.9794054,燕山中期正长花岗岩,1955.107509,406,413,7
73,73,430059,2744765.75,460,20.7804184,,1691.927379,450,460,10
74,74,426659,2744790.75,515,25.50461578,燕山中期正长花岗岩,950.293395,480,515,35
75,75,426509,2744790.75,561,9.159824371,燕山中期正长花岗岩,1605.012761,520,561,41
76,76,429821.5,2744815.75,492,18.9879818,元古界楼子坝组,1746.829269,476,492,16
77,77,429046.5,2744803.25,479,6.936247826,燕山中期正长花岗岩,1088.465054,467,479,12
78,78,430196.5,2744815.75,462,13.67494583,,837.8256986,459,462,3
79,79,428396.5,2744828.25,459,12.00254154,燕山中期正长花岗岩,159.1268802,459,459,0
80,80,425759,2744840.75,557,24.51631355,燕山中期正长花岗岩,402.9578745,549,557,8
81,81,426246.5,2744853.25,552,35.26979065,燕山中期正长花岗岩,1349.79079,522,552,30
82,82,429159,2744828.25,437,19.1213665,燕山中期正长花岗岩,2538.395315,428,437,9
83,83,429434,2744903.25,459,25.64100647,燕山中期正长花岗岩,434.6713928,453,459,6
84,84,430271.5,2744940.75,486,18.88338852,,200.4583918,486,486,0
85,85,429696.5,2744953.25,457,16.18126869,元古界楼子坝组,1079.302482,451,457,6
86,86,429471.5,2744940.75,447,24.73324203,燕山中期正长花岗岩,1672.591389,429,447,18
87,87,428934,2744940.75,468,13.60805988,燕山中期正长花岗岩,1038.246897,452,468,16
88,88,429346.5,2744978.25,488,18.53429794,燕山中期正长花岗岩,3635.470416,442,488,46
89,89,429509,2744990.75,442,12.20686531,燕山中期正长花岗岩,366.1354175,440,442,2
90,90,426646.5,2745003.25,496,23.71673203,燕山中期正长花岗岩,1341.133226,481,496,15
91,91,428821.5,2745015.75,502,9.398914337,燕山中期正长花岗岩,2860.92481,469,502,33
92,92,429371.5,2745015.75,493,19.91116714,燕山中期正长花岗岩,847.4750336,477,493,16
93,93,430346.5,2745028.25,510,27.23857307,,555.1245038,494,510,16
94,94,429521.5,2745053.25,459,23.45217705,燕山中期正长花岗岩,404.86461,453,459,6
95,95,430284,2745053.25,505,23.84738159,,482.758296,499,505,6
96,96,425584,2745065.75,618,22.34737206,燕山中期正长花岗岩,336.0452354,618,618,0
97,97,430521.5,2745103.25,570,24.31749344,,1780.850244,547,570,23
98,98,430334,2745115.75,531,25.17851639,,864.0460026,517,531,14
99,99,429321.5,2745128.25,513,29.59565926,燕山中期正长花岗岩,8170.679064,453,513,60
100,100,428746.5,2745165.75,511,23.27332687,燕山中期正长花岗岩,977.0232443,495,511,16
101,101,430271.5,2745165.75,552,18.58031464,元古界楼子坝组,679.6836104,530,552,22
102,102,426721.5,2745190.75,457,24.3595562,燕山中期正长花岗岩,1083.873296,445,457,12
103,103,430359,2745190.75,565,22.29961014,,861.1880758,543,565,22
104,104,430021.5,2745190.75,557,23.84738159,元古界楼子坝组,1143.336917,540,557,17
105,105,428659,2745203.25,520,17.38270378,燕山中期正长花岗岩,226.227679,520,520,0
106,106,427271.5,2745215.75,432,25.6797657,燕山中期正长花岗岩,203.8280377,427,432,5
107,107,428084,2745253.25,525,23.5850029,燕山中期正长花岗岩,1659.852906,505,525,20
108,108,424471.5,2745253.25,680,11.30993271,燕山中期正长花岗岩,772.9760193,673,680,7
109,109,429596.5,2745353.25,497,20.84626579,元古界楼子坝组,650.6513827,484,497,13
110,110,429509,2745353.25,521,24.09484291,燕山中期正长花岗岩,712.7364051,511,521,10
111,111,427171.5,2745403.25,416,6.651732922,燕山中期正长花岗岩,475.3413446,412,416,4
112,112,427209,2745403.25,424,25.17851639,燕山中期正长花岗岩,431.6078716,417,424,7
113,113,427171.5,2745440.75,421,11.30993271,燕山中期正长花岗岩,778.6568115,417,421,4
114,114,429646.5,2745453.25,495,19.68572998,元古界楼子坝组,449.9046014,491,495,4
115,115,429396.5,2745440.75,568,27.13265038,燕山中期正长花岗岩,1223.130907,537,568,31
116,116,424609,2745465.75,677,23.94466972,燕山中期正长花岗岩,235.6721487,671,677,6
117,117,427996.5,2745428.25,524,19.69992065,燕山中期正长花岗岩,5185.887674,488,524,36
118,118,427209,2745490.75,431,10.68493366,燕山中期正长花岗岩,475.7117168,427,431,4
119,119,430321.5,2745490.75,596,28.54879189,元古界楼子坝组,369.0729446,592,596,4
120,120,430409,2745428.25,567,33.19952774,元古界楼子坝组,3836.566988,517,567,50
121,121,425946.5,2745503.25,468,19.1213665,燕山中期正长花岗岩,1554.602948,460,468,8
122,122,427771.5,2745553.25,516,25.71843338,燕山中期正长花岗岩,717.3072726,503,516,13
123,123,428771.5,2745590.75,562,27.92780876,燕山中期正长花岗岩,2392.364377,522,562,40
124,124,429259,2745590.75,525,28.91046715,燕山中期正长花岗岩,560.9993594,519,525,6
125,125,430371.5,2745615.75,538,23.5850029,元古界楼子坝组,452.948329,528,538,10
126,126,427059,2745628.25,443,28.42645073,燕山中期正长花岗岩,1260.281106,425,443,18
127,127,429709,2745628.25,508,21.50217438,元古界楼子坝组,973.0418677,503,508,5
128,128,430921.5,2745578.25,495,42.72159958,,1031.737498,450,495,45
129,129,427034,2745703.25,473,18.53429794,燕山中期正长花岗岩,1180.3923,421,473,52
130,130,429421.5,2745690.75,529,8.549422264,燕山中期正长花岗岩,614.0961044,527,529,2
131,131,428621.5,2745715.75,595,29.22544289,燕山中期正长花岗岩,639.4483011,580,595,15
132,132,425809,2745740.75,435,22.87490463,燕山中期正长花岗岩,164.4730963,435,435,0
133,133,430834,2745740.75,497,27.42230988,元古界楼子坝组,1416.282978,466,497,31
134,134,430596.5,2745753.25,446,21.36306,元古界楼子坝组,3112.14121,431,446,15
135,135,428634,2745778.25,629,24.3595562,燕山中期正长花岗岩,1316.985658,594,629,35
136,136,428509,2745778.25,617,26.11899185,燕山中期正长花岗岩,1020.782584,592,617,25
137,137,429871.5,2745778.25,537,22.2036438,元古界楼子坝组,727.4565714,526,537,11
138,138,429896.5,2745828.25,544,27.49176979,元古界楼子坝组,390.9236632,533,544,11
139,139,428821.5,2745828.25,593,17.90615845,燕山中期正长花岗岩,600.3680645,589,593,4
140,140,424559,2745853.25,671,23.71673203,燕山中期正长花岗岩,1473.236433,652,671,19
141,141,426446.5,2745815.75,473,16.55833817,燕山中期正长花岗岩,5775.979967,427,473,46
142,142,429071.5,2745878.25,532,17.69586182,燕山中期正长花岗岩,945.5357877,520,532,12
143,143,428534,2745890.75,641,22.67769241,燕山中期正长花岗岩,656.7923062,625,641,16
144,144,426309,2745865.75,435,28.22051239,燕山中期正长花岗岩,1286.323119,422,435,13
145,145,428971.5,2745890.75,548,26.88280678,燕山中期正长花岗岩,423.2387068,542,548,6
146,146,428671.5,2745903.25,619,22.66601372,燕山中期正长花岗岩,201.3081398,619,619,0
147,147,430646.5,2745890.75,457,37.3348732,元古界楼子坝组,1682.12707,420,457,37
148,148,431734,2745915.75,384,12.96458817,,939.9250951,379,384,5
149,149,430871.5,2745903.25,425,39.71105576,元古界楼子坝组,892.6580571,406,425,19
150,150,426721.5,2745940.75,425,18.77803421,燕山中期正长花岗岩,620.700422,418,425,7
151,151,430684,2745953.25,442,33.53329849,元古界楼子坝组,1018.220171,416,442,26
152,152,425084,2745940.75,564,28.38546753,燕山中期正长花岗岩,789.4799201,557,564,7
153,153,429696.5,2745965.75,572,26.61996269,元古界楼子坝组,653.2270806,561,572,11
154,154,426171.5,2745965.75,441,15.81191254,燕山中期正长花岗岩,1608.878869,434,441,7
155,155,428959,2746003.25,565,30.96375656,燕山中期正长花岗岩,1201.165381,537,565,28
156,156,425821.5,2745990.75,437,13.17534828,燕山中期正长花岗岩,1245.358616,434,437,3
157,157,426359,2746028.25,422,19.64307594,燕山中期正长花岗岩,199.4166766,422,422,0
158,158,429046.5,2746003.25,555,22.72431755,燕山中期正长花岗岩,3574.193386,517,555,38
159,159,431259,2746015.75,366,16.83869743,石炭系林地组,2942.296397,358,366,8
160,160,432109,2746040.75,452,28.88660049,燕山早期正长花岗岩,556.6334721,443,452,9
161,161,429359,2746053.25,552,19.04741478,燕山中期正长花岗岩,2038.980597,535,552,17
162,162,425571.5,2746078.25,498,10.74340343,燕山中期正长花岗岩,1282.575972,488,498,10
163,163,432146.5,2746078.25,453,25.71843338,燕山早期正长花岗岩,1497.063622,431,453,22
164,164,428621.5,2746065.75,627,27.69840431,燕山中期正长花岗岩,546.4261918,615,627,12
