OBJECTID,ridge_dist,top_x,top_y,top_z,top_slope_deg,ridge_x,ridge_y,ridge_z,long_axis_len
1,76.9,424454.6708496869,2743006.875924673,726.2121910709848,21.80140948635181,424527.83587971143,2742983.201288847,744.0,101.38310585468945
2,61.6,424480.9989883815,2743059.176173081,716.1624735463361,27.12379140724319,424512.25136685657,2743006.092759102,742.5529073174257,41.11686310092851
4,60.9,427153.2282900125,2743377.738306319,430.67175885850156,33.509252325342295,427105.2708795143,2743340.2030325313,475.79345416142564,40.60533720796861
5,72.6,427925.27900770836,2743418.5384252914,572.3699477238114,32.31153323742385,427994.6639718599,2743397.1728747557,614.29694753997,48.459648449679925
6,104.8,426855.3299857227,2743373.3049545325,501.0284384476545,39.00533680060931,426876.3517310559,2743270.634967569,560.6674311346978,69.87488850871598
7,81.2,428062.20703760034,2743463.031791603,602.3087953603535,17.744671625056935,428140.26663264877,2743485.395593178,616.8567050915444,60.02993710230667
8,80.5,426965.79362686427,2743500.4354405166,440.2991485339467,22.666013397863924,426955.4715908734,2743580.270931202,458.3468181903954,53.71045132093711
9,71.0,427057.31059581606,2743518.711706307,422.1162665177908,21.602565114654762,427027.9896853108,2743583.374556593,443.86988846329893,47.38467227503264
10,98.5,427936.9373361687,2743442.26745889,567.1893476226396,28.286692408693604,427962.1204406007,2743347.041090424,618.748812240543,78.2640444794247
11,68.9,427394.1486381417,2743491.998238198,408.41662169647316,31.186932086499553,427327.72775908984,2743473.682211719,432.5387866481871,51.05459220724127
12,60.8,424002.2335388989,2743525.3000246775,677.1495494129894,17.874008470120444,423963.31392280874,2743572.010874417,691.1541509656884,51.18842689469317
13,137.3,428037.61416131957,2743497.9299707985,592.7224715361881,24.094842552110705,428165.27096410375,2743447.3826592686,621.9370460472467,95.19074429739767
14,61.2,425638.9138346444,2743552.146539633,686.0641271182612,30.737526083800457,425578.3253499577,2743560.776459874,693.5455048436634,40.834547415265384
15,211.2,427911.18162399455,2743516.8748737755,528.61472414846,25.71843256387208,428097.02040316106,2743416.5285327467,620.3964166465594,140.81503167556448
16,46.9,427213.28424051456,2743612.629783029,472.25191321159946,21.89988173570756,427213.04519571253,2743659.529173831,483.17171653003606,163.3407487992144
17,46.7,428744.3708761585,2743581.4697441747,554.6629990581794,10.142106156573984,428703.2979243874,2743559.2458238904,559.0008913234506,58.434964927314184
18,0.0,422617.24012667534,2743609.3029391197,708.7313842703323,12.156145050965593,422617.24012667534,2743609.3029391197,708.7313842703323,20.360250062744026
19,119.4,427735.1964862706,2743612.1000574627,451.2706914322079,19.91116713616606,427852.6745108458,2743633.4372021146,488.99948652983386,181.8595800902918
20,44.5,422577.1665181413,2743611.415180311,707.6468926015441,13.674945403795036,422615.9491683223,2743589.5941802207,715.4325827214484,29.69190081492126
21,73.9,425781.59930646594,2743616.2321448526,628.3956747803923,17.874008470120444,425755.880561316,2743546.9518724233,652.0097709973343,49.307836763048144
