sample_type,rand_id,landslide_id,x,y,pt_elev,area_m2,z_min,z_max,relief_m
random,0,4789,414243.2864303973,2757991.1790647735,231.0,1273.2144210965896,225.0,237.0,12.0
random,1,4242,420431.34173782566,2757031.0762743885,397.0,348.9731127408172,393.0,397.0,4.0
random,2,3458,408003.2237523034,2755407.749941044,252.0,550.6950995845788,239.0,252.0,13.0
random,3,3897,426667.4332468467,2756338.384112816,743.0,2266.5913728838054,729.0,784.0,55.0
random,4,6071,417162.72267339815,2760720.0758134555,264.0,15937.926134461373,263.0,337.0,74.0
random,5,4138,417482.9755080712,2756590.469921928,491.0,40478.048259219264,371.0,600.0,229.0
random,6,2928,407758.7737772704,2754312.9001777116,203.0,2829.0670586971396,196.0,209.0,13.0
random,7,4076,421572.98932041344,2756677.793399966,269.0,53384.04210940403,267.0,362.0,95.0
random,8,2419,411596.37963348685,2753394.5475999466,281.0,353.14172739886175,281.0,291.0,10.0
random,9,63,426768.59355752746,2744490.3652547984,429.0,4552.806820573649,390.0,464.0,74.0
random,10,984,405722.0453329182,2749584.49583906,228.0,27231.711815152703,167.0,247.0,80.0
random,11,2939,411769.80846995383,2754346.319079516,338.0,1923.5548035691145,318.0,346.0,28.0
random,12,3484,403574.38488279836,2755453.799979552,258.0,1441.374652275346,258.0,272.0,14.0
random,13,1543,403599.9262554955,2751425.6568542393,213.0,1205.584101534597,215.0,235.0,20.0
random,14,1861,408264.17119087774,2752298.3499852135,258.0,1260.2543400360723,245.0,271.0,26.0
random,15,4864,411914.5451871676,2758067.2646162836,292.0,1505.9330293702205,289.0,301.0,12.0
random,16,5074,430951.0205871506,2758422.273257041,555.0,2762.5486343690072,540.0,555.0,15.0
random,17,2871,413530.5710172943,2754224.5847898833,233.0,1087.8069757157427,223.0,243.0,20.0
random,18,1086,424164.40865882434,2749974.434059892,413.0,1766.0423523779234,412.0,440.0,28.0
random,19,3893,415153.310188279,2756361.621145884,308.0,9888.383043732212,268.0,308.0,40.0
random,20,1693,415246.62715282914,2751823.1749907373,373.0,833.9023477981984,353.0,373.0,20.0
random,21,4376,433423.7036092402,2757282.269369239,531.0,2705.740441638562,515.0,546.0,31.0
random,22,711,411761.6540411131,2748760.7037478527,307.0,1820.2285529763858,303.0,345.0,42.0
random,23,1405,409302.1982107128,2751017.592728079,291.0,2165.378407213424,279.0,294.0,15.0
random,24,1251,407416.3345653187,2750556.3329656026,203.0,1359.5222273938089,200.0,204.0,4.0
random,25,4393,408737.8725402856,2757338.0712639946,272.0,3090.027943498911,265.0,289.0,24.0
random,26,3611,428426.4929350818,2755665.575400372,725.0,2333.3012298008684,709.0,737.0,28.0
random,27,1011,423166.3142896143,2749742.9956015367,443.0,581.0461373222068,443.0,473.0,30.0
random,28,3593,409366.0687368332,2755652.587610279,220.0,1195.3506373237312,220.0,233.0,13.0
random,29,664,423382.62503966526,2748615.6414929233,444.0,9687.788391549895,430.0,506.0,76.0
random,30,788,424979.5575756809,2749007.9364584684,734.0,3355.971227557888,662.0,730.0,68.0
random,31,4622,412045.6441430279,2757755.111638512,235.0,1451.7104540314265,217.0,235.0,18.0
random,32,3224,407720.497599083,2754913.8894165326,235.0,594.4452520898712,235.0,243.0,8.0
random,33,699,432993.7826050271,2748688.5854521417,467.0,5660.242205285861,458.0,482.0,24.0
random,34,3693,415580.0429788949,2755753.7344037024,520.0,7637.6442932380805,413.0,540.0,127.0
random,35,1965,409686.21721639176,2752527.0418582116,325.0,2178.970436400725,306.0,375.0,69.0
random,36,1387,433751.8083324431,2750983.8116274774,490.0,1368.4488823693848,485.0,501.0,16.0
random,37,4543,408127.92269637366,2757591.8486127937,313.0,6884.065532523091,295.0,325.0,30.0
random,38,1903,405399.1428513692,2752377.7098458204,272.0,7662.7201597572,258.0,299.0,41.0
random,39,5992,417260.3834869433,2760472.5882724454,298.0,8546.586297969716,243.0,312.0,69.0
random,40,154,426496.4348273964,2745847.520221538,446.0,5775.979966635053,427.0,473.0,46.0
random,41,5471,423306.18259659514,2759047.6168665127,409.0,624.6991277431871,409.0,416.0,7.0
random,42,4005,410590.15058430325,2756587.7273645783,268.0,7686.102842179696,229.0,282.0,53.0
random,43,4607,412135.53542040405,2757727.203392006,251.0,821.9818561947108,234.0,248.0,14.0
random,44,1023,405736.17767668114,2749777.3006126555,255.0,974.9082512332648,255.0,262.0,7.0
random,45,1005,407615.54752503324,2749690.684428482,214.0,3775.375803586343,198.0,223.0,25.0
random,46,2006,404309.9457726665,2752681.8756156694,253.0,589.4688146836107,249.0,257.0,8.0
random,47,5346,415698.75390453724,2758842.6876531593,256.0,378.3929898683891,246.0,252.0,6.0
random,48,1556,408033.66960951407,2751454.738105889,192.0,6566.933291270947,188.0,207.0,19.0
random,49,2592,408899.7560651736,2753705.3300766465,201.0,3797.2063325245076,201.0,220.0,19.0
random,50,5212,422251.2743256665,2758615.8713623947,346.0,1771.4740508983236,329.0,348.0,19.0
random,51,3955,429924.17195981106,2756530.6944854488,548.0,1846.9984643031885,542.0,552.0,10.0
random,52,5408,423665.32634520164,2758922.2499435507,429.0,2281.9488916567716,412.0,441.0,29.0
random,53,3933,413120.37434038526,2756396.9620268787,309.0,5003.33085781263,254.0,315.0,61.0
random,54,2974,413827.0274041455,2754437.375116146,235.0,1162.4754663340336,232.0,255.0,23.0
random,55,2062,404928.69813858264,2752781.913997678,249.0,1402.5159224881704,241.0,257.0,16.0
random,56,1884,426716.45979127026,2752354.9239223003,490.0,1627.5721905063074,486.0,525.0,39.0
random,57,1405,409290.89830674336,2751020.2767915353,291.0,2165.378407213424,279.0,294.0,15.0
random,58,702,426479.61565195606,2748739.1259617736,894.0,2717.909934715754,843.0,896.0,53.0
random,59,1723,409336.91393004695,2751819.371151626,222.0,11584.584592900366,207.0,246.0,39.0
random,60,1135,429740.56083926465,2750166.5689000334,555.0,1452.9299417985592,543.0,572.0,29.0
random,61,4468,427695.23834450776,2757485.3187009436,518.0,6111.9697272727,515.0,617.0,102.0
random,62,2352,417134.7922329058,2753241.6480007553,435.0,20938.927721937187,361.0,465.0,104.0
random,63,1872,433294.7834146703,2752344.8181381132,492.0,893.2567735467991,484.0,497.0,13.0
random,64,1917,406268.9021354811,2752398.199611202,243.0,994.7609093833779,243.0,253.0,10.0
random,65,4807,412148.25692636403,2758004.174337888,277.0,2526.0035451870976,234.0,280.0,46.0
random,66,4037,413425.7014600314,2756709.023056754,270.0,902.7062754468013,267.0,270.0,3.0
random,67,4771,410405.7540052136,2757923.5273801615,261.0,3001.008902062977,243.0,265.0,22.0
