sample_type,rand_id,landslide_id,x,y,pt_elev,pt_slope,pt_lith,area_m2,z_min,z_max,relief_m
random,0,0,424826.2337112268,2753287.407120948,339.0,2.290610074996948,第四系全新统,0.0,0.0,0.0,0.0
random,1,0,403084.7233005357,2757522.986548921,202.0,8.049467086791992,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,2,0,409148.49497346574,2750214.873506309,300.0,17.630516052246094,白垩系沙县组,0.0,0.0,0.0,0.0
random,3,0,421515.4689041519,2757879.1951389275,257.0,6.302976608276367,二叠系童子岩组,0.0,0.0,0.0,0.0
random,4,0,412314.1202603214,2751072.6743211136,355.0,15.040160179138184,石炭系林地组,0.0,0.0,0.0,0.0
random,5,0,431210.11688474345,2759872.2233998617,590.0,12.382549285888672,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,6,0,414941.9400584907,2762492.6264571394,304.0,27.41360664367676,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,7,0,431214.9864434652,2746060.4736001547,352.0,11.527973175048828,石炭系林地组,0.0,0.0,0.0,0.0
random,8,0,432741.8812396031,2758399.507225425,550.0,4.124518394470215,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,9,0,425280.47639279824,2750207.192698106,589.0,31.99796485900879,泥盆系桃子坑组,0.0,0.0,0.0,0.0
random,10,0,425854.0762752029,2756472.612966819,529.0,20.898738861083984,二叠系栖霞组,0.0,0.0,0.0,0.0
random,11,0,396874.3700517741,2755135.7715461864,261.0,23.68390274047852,白垩系寨下组上段,0.0,0.0,0.0,0.0
random,12,0,427354.8650039096,2743754.6345591727,416.0,28.16238594055176,泥盆系天瓦岽组,0.0,0.0,0.0,0.0
random,13,0,415757.8149775093,2755898.365012311,453.0,31.407133102416992,侏罗系藩坑组,0.0,0.0,0.0,0.0
random,14,0,420517.2767768118,2748904.5141272587,326.0,5.419335842132568,二叠系栖霞组,0.0,0.0,0.0,0.0
random,15,0,424614.26462052506,2762098.623195717,512.0,19.00286293029785,二叠系童子岩组,0.0,0.0,0.0,0.0
random,16,0,435220.0334675323,2758129.0743030333,515.0,12.456989288330078,加里东期二长花岗岩,0.0,0.0,0.0,0.0
random,17,0,433699.7219128565,2760261.0690024304,783.0,20.47377586364746,加里东期二长花岗岩,0.0,0.0,0.0,0.0
random,18,0,412774.8336505028,2758717.137304961,357.0,27.141502380371094,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,19,0,431069.8507754476,2758568.56168464,556.0,19.699920654296875,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,20,0,434394.7175412255,2751215.733578536,469.0,9.697046279907228,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
random,21,0,418052.20612806646,2755133.974579662,594.0,10.447469711303713,石炭系林地组,0.0,0.0,0.0,0.0
random,22,0,424846.2710470132,2756997.550396986,387.0,13.873369216918944,二叠系栖霞组,0.0,0.0,0.0,0.0
random,23,0,407527.15226960304,2751543.3392745694,262.0,9.15982437133789,元古界楼子坝组,0.0,0.0,0.0,0.0
random,24,0,402858.4514776194,2753994.045307516,263.0,22.489791870117188,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,25,0,408152.3541288914,2756063.5275210347,287.0,6.147248268127441,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,26,0,427946.5624322208,2746732.7592990957,712.0,16.611351013183594,元古界楼子坝组,0.0,0.0,0.0,0.0
random,27,0,405418.1731060416,2753865.526590268,248.0,26.417713165283203,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,28,0,433795.8839151991,2756282.212274301,508.0,8.206727027893066,加里东期二长花岗岩,0.0,0.0,0.0,0.0
random,29,0,428621.2947573408,2753487.111942726,863.0,13.2447509765625,元古界楼子坝组,0.0,0.0,0.0,0.0
random,30,0,418680.9490292412,2759090.725715759,294.0,24.190643310546875,侏罗系下村组,0.0,0.0,0.0,0.0
random,31,0,422944.387423816,2756212.7074101395,334.0,6.889675140380859,二叠系栖霞组,0.0,0.0,0.0,0.0
random,32,0,434793.74213291454,2756242.829585699,505.0,8.08908462524414,加里东期二长花岗岩,0.0,0.0,0.0,0.0
random,33,0,431477.40313224826,2746213.5969676343,386.0,23.14918708801269,石炭系林地组,0.0,0.0,0.0,0.0
random,34,0,423548.6270505071,2754929.853976138,299.0,0.0,第四系全新统,0.0,0.0,0.0,0.0
random,35,0,426539.66737418855,2779125.1295761126,360.0,17.630516052246094,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,36,0,423768.37649757,2757730.321290181,343.0,24.53709983825684,二叠系童子岩组,0.0,0.0,0.0,0.0
random,37,0,403017.6378645952,2756790.621811586,317.0,10.41737174987793,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,38,0,422505.3611735965,2759390.706865583,478.0,14.19694709777832,二叠系翠屏山组,0.0,0.0,0.0,0.0
random,39,0,425295.9359621837,2753128.5163348466,409.0,12.07961654663086,第四系全新统,0.0,0.0,0.0,0.0
random,40,0,410356.5316488231,2752207.5601049983,285.0,9.631651878356934,白垩系沙县组,0.0,0.0,0.0,0.0
random,41,0,432104.2454606316,2757878.170703176,500.0,7.5993332862854,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,42,0,435483.746233628,2760331.4115975797,695.0,8.39893913269043,加里东期二长花岗岩,0.0,0.0,0.0,0.0
random,43,0,418843.13156130805,2759631.172565829,230.0,11.87283706665039,侏罗系下村组,0.0,0.0,0.0,0.0
random,44,0,419966.5748404174,2761605.581983972,482.0,47.38262939453125,石炭系林地组,0.0,0.0,0.0,0.0
random,45,0,406243.9695555683,2759187.328730868,604.0,19.00286293029785,侏罗系下村组,0.0,0.0,0.0,0.0
random,46,0,408819.4483112505,2755056.118041738,191.0,14.13292121887207,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,47,0,416971.4532403872,2758078.655802586,223.0,11.446746826171877,白垩系沙县组,0.0,0.0,0.0,0.0
random,48,0,426803.162673646,2755470.423374899,451.0,23.771299362182617,元古界楼子坝组,0.0,0.0,0.0,0.0
random,49,0,427881.3460907199,2753758.6704133684,696.0,17.777118682861328,元古界楼子坝组,0.0,0.0,0.0,0.0
random,50,0,425490.7582391988,2760016.4537732126,324.0,10.447469711303713,燕山晚期花岗斑岩,0.0,0.0,0.0,0.0
random,51,0,412557.9482400095,2751353.9293194106,323.0,22.77080535888672,石炭系林地组,0.0,0.0,0.0,0.0
random,52,0,424734.2250760093,2745019.7246925146,628.0,12.18153476715088,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,53,0,410410.1591425051,2761387.368414273,392.0,9.398914337158203,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,54,0,417170.0904987247,2763511.5392009546,359.0,21.615068435668945,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,55,0,416874.0136023126,2756919.516195388,484.0,36.660743713378906,侏罗系藩坑组,0.0,0.0,0.0,0.0
random,56,0,422959.0833238508,2747004.606684534,612.0,16.23579216003418,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,57,0,404654.3309345654,2756760.378198375,215.0,16.976736068725586,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,58,0,419826.2667317803,2753450.4212809177,356.0,1.8112480640411377,燕山晚期花岗斑岩,0.0,0.0,0.0,0.0
random,59,0,414213.6471956693,2751324.9699728736,375.0,30.737525939941406,元古界楼子坝组,0.0,0.0,0.0,0.0
random,60,0,426941.39141501446,2756537.3849421674,870.0,19.92514419555664,元古界楼子坝组,0.0,0.0,0.0,0.0
random,61,0,421059.59536451614,2755710.042984875,305.0,17.874008178710938,二叠系童子岩组,0.0,0.0,0.0,0.0
random,62,0,413114.34988575947,2756197.456692951,307.0,18.868383407592773,元古界楼子坝组,0.0,0.0,0.0,0.0
random,63,0,411495.096217431,2752344.82104617,331.0,15.06003189086914,石炭系林地组,0.0,0.0,0.0,0.0
random,64,0,413424.7678276489,2758983.661670424,243.0,3.337110757827759,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,65,0,402758.2775553388,2753258.598944169,254.0,12.604382514953612,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,66,0,429704.4941642973,2752381.708596102,605.0,12.206865310668944,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,67,0,431678.2731096127,2746943.8663302646,489.0,34.859642028808594,石炭系林地组,0.0,0.0,0.0,0.0
random,68,0,413323.3988415216,2760593.417018617,299.0,22.584022521972656,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,69,0,427432.2658908677,2743863.906261037,403.0,16.39803695678711,泥盆系天瓦岽组,0.0,0.0,0.0,0.0
random,70,0,422279.0325377312,2748177.417220489,380.0,4.124518394470215,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,71,0,427278.14776235394,2751322.255840732,729.0,20.47377586364746,泥盆系桃子坑组,0.0,0.0,0.0,0.0
random,72,0,432703.284323304,2754200.8216331443,476.0,2.560638904571533,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,73,0,410049.01653464313,2758802.466929905,296.0,11.794248580932615,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,74,0,418134.14488282346,2763691.2697169557,257.0,8.08908462524414,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,75,0,435324.1684220082,2753669.779776042,624.0,8.206727027893066,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
random,76,0,408218.4679436003,2753582.093517661,191.0,4.916665554046631,燕山晚期花岗斑岩,0.0,0.0,0.0,0.0
random,77,0,415566.6235796322,2752028.1919925534,362.0,23.30701446533203,元古界楼子坝组,0.0,0.0,0.0,0.0
random,78,0,416583.789937189,2757739.132873933,269.0,11.364876747131348,白垩系沙县组,0.0,0.0,0.0,0.0
random,79,0,428164.76010971656,2756400.6356270933,884.0,6.454830169677734,燕山晚期花岗斑岩,0.0,0.0,0.0,0.0
random,80,0,411531.25277402624,2750442.74548874,468.0,37.19655990600586,石炭系林地组,0.0,0.0,0.0,0.0
random,81,0,411617.0113014736,2750560.6314188186,477.0,32.24020004272461,石炭系林地组,0.0,0.0,0.0,0.0
random,82,0,405081.6177071164,2750009.9258102537,251.0,25.689441680908203,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,83,0,425587.1309231362,2748232.9337272146,722.0,16.558338165283203,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,84,0,413126.33927538816,2756559.8669525897,289.0,25.814701080322266,元古界楼子坝组,0.0,0.0,0.0,0.0
random,85,0,422511.1090751263,2748356.3717520386,411.0,24.35955619812012,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,86,0,425688.303963257,2745917.3932463843,488.0,25.178516387939453,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,87,0,409050.2194842389,2753384.432458084,189.0,4.355109691619873,燕山晚期花岗斑岩,0.0,0.0,0.0,0.0
random,88,0,414312.1637007872,2750453.6686924184,320.0,8.878142356872559,石炭系林地组,0.0,0.0,0.0,0.0
random,89,0,434942.5533138013,2761062.7843127144,627.0,2.918994903564453,加里东期二长花岗岩,0.0,0.0,0.0,0.0
random,90,0,405527.6948685378,2755847.9235203518,200.0,7.209120750427246,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,91,0,410353.58718361857,2754024.8517542686,327.0,24.190643310546875,元古界楼子坝组,0.0,0.0,0.0,0.0
random,92,0,430191.7161870861,2744896.190802588,474.0,9.365159034729004,,0.0,0.0,0.0,0.0
random,93,0,410172.1187207276,2759446.645985011,316.0,23.04688835144043,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,94,0,437216.7838863572,2753225.6262893616,508.0,10.447469711303713,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
random,95,0,414619.9960134416,2749959.578791632,433.0,11.87283706665039,石炭系林地组,0.0,0.0,0.0,0.0
random,96,0,427255.0942252514,2745031.916358372,449.0,12.002541542053224,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,97,0,426799.92684074905,2759802.9932444417,434.0,18.747791290283203,元古界楼子坝组,0.0,0.0,0.0,0.0
random,98,0,428039.28629705537,2771296.2998327846,246.0,6.147248268127441,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,99,0,424841.2521535511,2758676.648763982,442.0,17.874008178710938,二叠系童子岩组,0.0,0.0,0.0,0.0
random,100,0,422133.36955171975,2757245.377964457,286.0,18.03402709960937,二叠系童子岩组,0.0,0.0,0.0,0.0
random,101,0,427492.6333513296,2744495.368057987,538.0,8.549422264099121,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,102,0,423533.5285156662,2761253.473391489,536.0,36.82828521728516,二叠系翠屏山组,0.0,0.0,0.0,0.0
random,103,0,420697.6899454004,2759572.681134005,394.0,21.502174377441406,侏罗系下村组,0.0,0.0,0.0,0.0
random,104,0,416552.8869942097,2753713.529283374,413.0,19.86915779113769,元古界楼子坝组,0.0,0.0,0.0,0.0
random,105,0,426540.96866666747,2743544.2992647006,496.0,17.874008178710938,泥盆系天瓦岽组,0.0,0.0,0.0,0.0
random,106,0,409442.7506806397,2748999.6416668985,216.0,,,0.0,0.0,0.0,0.0
random,107,0,404143.1274579757,2750211.543998638,199.0,22.31156349182129,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,108,0,408891.8815084976,2754303.8141432675,203.0,4.916665554046631,燕山晚期花岗斑岩,0.0,0.0,0.0,0.0
random,109,0,433238.4868982964,2747472.2842630465,357.0,17.890092849731445,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
random,110,0,414624.1001425796,2750678.1967768646,349.0,11.794248580932615,石炭系林地组,0.0,0.0,0.0,0.0
random,111,0,429958.5879232166,2744845.071626736,463.0,26.334247589111328,,0.0,0.0,0.0,0.0
random,112,0,422760.9694099348,2755952.5621497524,330.0,12.964588165283203,二叠系栖霞组,0.0,0.0,0.0,0.0
random,113,0,416489.02717437816,2763262.267754821,344.0,23.716732025146484,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,114,0,415312.1971404926,2751527.9223426133,294.0,8.08908462524414,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,115,0,411230.9302230732,2759331.462344961,292.0,11.794248580932615,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,116,0,423189.38115174766,2761208.286741804,504.0,17.299108505249023,二叠系翠屏山组,0.0,0.0,0.0,0.0
random,117,0,430029.8385474691,2748207.8055556105,517.0,17.874008178710938,元古界楼子坝组,0.0,0.0,0.0,0.0
random,118,0,423923.4233074212,2746943.0320712235,639.0,16.942358016967773,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,119,0,421244.9274155989,2757891.608566625,291.0,15.88661766052246,二叠系童子岩组,0.0,0.0,0.0,0.0
random,120,0,413026.9185427097,2748695.2725185333,482.0,29.595659255981445,石炭系林地组,0.0,0.0,0.0,0.0
random,121,0,416527.1236824285,2752906.6864750586,331.0,6.504634380340576,石炭系林地组,0.0,0.0,0.0,0.0
random,122,0,432619.9252120019,2757796.3210111475,520.0,23.04688835144043,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,123,0,434753.7477213007,2752756.304765446,547.0,12.86965274810791,燕山早期正长花岗岩,0.0,0.0,0.0,0.0
random,124,0,413073.09861692856,2758725.6856756024,313.0,9.15982437133789,燕山中期二长花岗岩,0.0,0.0,0.0,0.0
random,125,0,426336.2131981908,2761345.1572205704,575.0,20.48723793029785,泥盆系桃子坑组,0.0,0.0,0.0,0.0
random,126,0,427707.2282858229,2771964.243990865,253.0,16.089893341064453,燕山中期正长花岗岩,0.0,0.0,0.0,0.0
random,127,0,417235.9157602481,2757081.396541593,370.0,17.349327087402344,侏罗系藩坑组,0.0,0.0,0.0,0.0
