sample_type,rand_id,landslide_id,x,y,pt_elev,pt_slope,pt_lith,area_m2,z_min,z_max,relief_m
random,0,"0    0
Name: landslide_id, dtype: int32",424826.2337112268,2753287.407120948,339.0,2.2906100749969482,第四系全新统,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,1,"0    0
Name: landslide_id, dtype: int32",403084.7233005357,2757522.986548921,202.0,8.049467086791992,燕山中期正长花岗岩,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,2,"0    0
Name: landslide_id, dtype: int32",409148.49497346574,2750214.8735063095,300.0,17.630516052246094,白垩系沙县组,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,3,"0    0
Name: landslide_id, dtype: int32",421515.4689041519,2757879.1951389275,257.0,6.302976608276367,二叠系童子岩组,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,4,"0    0
Name: landslide_id, dtype: int32",412314.1202603214,2751072.6743211136,355.0,15.040160179138184,石炭系林地组,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,5,"0    0
Name: landslide_id, dtype: int32",431210.11688474345,2759872.2233998617,590.0,12.382549285888672,燕山中期二长花岗岩,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,6,"0    0
Name: landslide_id, dtype: int32",414941.9400584907,2762492.6264571394,304.0,27.413606643676758,燕山中期二长花岗岩,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,7,"0    0
Name: landslide_id, dtype: int32",431214.98644346517,2746060.4736001547,352.0,11.527973175048828,石炭系林地组,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,8,"0    0
Name: landslide_id, dtype: int32",432741.8812396031,2758399.507225425,550.0,4.124518394470215,燕山中期二长花岗岩,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
random,9,"0    0
Name: landslide_id, dtype: int32",425280.47639279824,2750207.192698106,589.0,31.99796485900879,泥盆系桃子坑组,"0    2318.598724
Name: area_m2, dtype: float64","0    688.0
Name: z_min, dtype: float64","0    721.0
Name: z_max, dtype: float64","0    33.0
Name: relief_m, dtype: float64"
